SCC: ,SCC Descriptions: ,NH3 (kg) Emissions,NOX (kg) Emissions,PM25-PRI (kg) Emissions,SO2 (kg) Emissions,VOC (kg) Emissions,Deaths from NH3 to TotalPop,Deaths from NH3 to WhiteNoLat,Deaths from NH3 to Black,Deaths from NH3 to Native,Deaths from NH3 to Asian,Deaths from NH3 to Other,Deaths from NH3 to Latino,Deaths from NH3 to Poverty,Deaths from NH3 to TwoXPov
2310021302,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Gas Production;Natural Gas Fired 4Cycle Rich Burn Compressor Engines 50 To 499 HP""",,163969609.29187,1369774.45166623,46911.9690847538,2544818.6754244,0,0,0,0,0,0,0,0,0
2310122100,"""Industrial Processes;Oil and Gas Exploration and Production;Off-Shore Gas Exploration;Mud Degassing""",,0,0,0,25.2736842201,0,0,0,0,0,0,0,0,0
2310022000,"""Industrial Processes;Oil and Gas Production: SIC 13;Natural Gas : Off-shore;Total: All Processes""",,69818.90623338,285.1148100902,127.3034022489,1701.7237771436,0,0,0,0,0,0,0,0,0
2805001300,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Beef cattle -  finishing operations on feedlots (drylots);Land application of manure""",134931270.848035,,,,,584.2859596754,289.185438324,43.7689952826,2.9211881603,45.6459021149,14.8942885923,187.8701472911,89.3169099845,366.7763501463
2801700008,"""Miscellaneous Area Sources;Agriculture Production - Crops;Fertilizer Application;Other Straight Nitrogen""",42894.617230917,,,,,0.0497175282,0.0383295921,0.0031524321,0.0007951352,0.0015743223,0.0012725998,0.0045934468,0.0069921514,0.0324441239
2805021300,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Dairy cattle - scrape dairy;Land application of manure""",58193161.0515604,,,,,423.702693939,299.5563387307,56.9236172856,1.413547958,16.8849949762,8.3541543245,40.5700409259,55.7374085676,287.5211677224
2310011020,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Oil Production;Storage Tanks: Crude Oil""",,0,0,0,324326558.313672,0,0,0,0,0,0,0,0,0
2310023310,"""Industrial Processes;Oil and Gas Exploration and Production;Coal Bed Methane Natural Gas;Pneumatic Pumps""",,0,0,0,6070152.82373539,0,0,0,0,0,0,0,0,0
2310021500,"""Industrial Processes;Oil and Gas Production: SIC 13;Natural Gas; Gas well completion - flaring and venting""",,474915.339114,10869.89067,1162.5575775,295766.803995,0,0,0,0,0,0,0,0,0
2310021310,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Gas Production;Gas Well Pneumatic Pumps""",,0,0,0,4636300.33010355,0,0,0,0,0,0,0,0,0
2310002401,"""Industrial Processes;Oil and Gas Exploration and Production;Off-Shore Oil And Gas Production;Pneumatic Pumps: Gas And Oil Wells""",,0,0,0,84.9717551805,0,0,0,0,0,0,0,0,0
2310023509,"""Industrial Processes;Oil and Gas Exploration and Production;Coal Bed Methane Natural Gas;Fugitives""",,0,0,0,11537708.0494314,0,0,0,0,0,0,0,0,0
2310020700,"""Industrial Processes;Oil and Gas Production: SIC 13;Natural Gas; Gas well fugitives""",,,,,7445594.788785,0,0,0,0,0,0,0,0,0
2310021411,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Gas Production;Gas Well Dehydrators - Flaring""",,371.94585,0,0,0,0,0,0,0,0,0,0,0,0
2310021300,"""Industrial Processes;Oil and Gas Production: SIC 13;Natural Gas; Gas well pneumatic devices""",,0,0,0,175378725.542442,0,0,0,0,0,0,0,0,0
2310021101,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Gas Production;Natural Gas Fired 2Cycle Lean Burn Compressor Engines < 50 HP""",,113418.122936978,5260.5579448463,84.2185534206,23451.1608724906,0,0,0,0,0,0,0,0,0
2310021301,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Gas Production;Natural Gas Fired 4Cycle Rich Burn Compressor Engines <50 HP""",,1076198.54584004,3721.5528000776,231.3975368521,5152.6317835962,0,0,0,0,0,0,0,0,0
2805018000,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Dairy cattle composite;Not Elsewhere Classified""",125457635.772808,,,,,784.6681140999,557.6817150581,102.6204413358,3.2049045761,28.8906557836,15.4788463153,76.7915516213,106.2967879949,525.260993802
2310012522,"""Industrial Processes;Oil and Gas Exploration and Production;Off-Shore Oil Production;Fugitives; Flanges: Oil/Water""",,0,0,0,0.0081641225,0,0,0,0,0,0,0,0,0
2310000220,"""Industrial Processes;Oil and Gas Production: SIC 13; Drill rigs""",,68659997.0680417,1785942.39676633,517913.306170707,3871331.99108846,0,0,0,0,0,0,0,0,0
2310023602,"""Industrial Processes;Oil and Gas Exploration and Production;Coal Bed Methane Natural Gas;Venting - Recompletions""",,0,0,0,4038293.88175148,0,0,0,0,0,0,0,0,0
2310021602,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Gas Production;Gas Well Venting - Recompletions""",,,,,7373307.6571485,0,0,0,0,0,0,0,0,0
2310012521,"""Industrial Processes;Oil and Gas Exploration and Production;Off-Shore Oil Production;Fugitives; Connectors: Oil/Water Streams""",,0,0,0,0.0204111508,0,0,0,0,0,0,0,0,0
2310021604,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Gas Production;Gas Well Venting - Compressor Startups""",,,,,979660.00965,0,0,0,0,0,0,0,0,0
2805007100,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Poultry production - layers with dry manure management systems;Confinement""",114185302.161577,,,,,1005.6801972725,697.0839677054,149.4808477944,2.9614054286,37.5607333393,19.5473035193,99.0459398285,140.1275423048,666.557905686
2310021030,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Gas Production;Tank Truck/Railcar Loading: Condensate""",,0,0,0,14528588.8989126,0,0,0,0,0,0,0,0,0
2801700012,"""Miscellaneous Area Sources;Agriculture Production - Crops;Fertilizer Application;Potassium Nitrate""",45548.1856359164,,,,,0.2529374731,0.1693726651,0.0485539024,0.0015679474,0.0057011051,0.0046567087,0.0230851447,0.0406005846,0.1560217266
2805001100,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Beef cattle -  finishing operations on feedlots (drylots);Confinement""",35248471.6232592,,,,,171.0059598317,122.9204929176,21.2329102065,0.7896843797,5.4609641864,3.3572274362,17.2446807974,23.7896656334,112.4978870279
2310011600,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Oil Production;Artificial Lift Engines""",,25683.7136964,47.4820629,0,1041.629817,0,0,0,0,0,0,0,0,0
2310022502,"""Industrial Processes;Oil and Gas Exploration and Production;Off-Shore Gas Production;Fugitives; Flanges: Gas Streams""",,0,0,0,0.6614664585,0,0,0,0,0,0,0,0,0
2310012512,"""Industrial Processes;Oil and Gas Exploration and Production;Off-Shore Oil Production;Fugitives; Flanges: Oil""",,0,0,0,0.0023245113,0,0,0,0,0,0,0,0,0
